Average_Period_Population,Average_Period_Population_Diff,Average_Perc_Pop_Error,Perc_Pos_Pop_Error,Average_Period_Births,Average_Period_Births_Diff,Average_Perc_Bir_Error,Perc_Pos_Birth_Error,Average_Period_Deaths,Average_Period_Deaths_Diff,Average_Perc_Dea_Error,Perc_Pos_Death_Error,YearRange,ModelTitle,NumberOfInitialAgents,FiveYearStep,TopDown,TopDownInitialAgents,AgentInitializationPerAgeYear,ForceUseSplitAge,splitFertility,country_id,ImmigrantsImmuneFromDeath
3997421.3,61521.80635600016,0.015390373377957475,0,298450,3738.8823809999985,0.012527667552353823,0.552,194480,7376.671666999994,0.03793023275915258,0.886,1950-1999,,100000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
5706398.8,120239.18427300024,0.021070939569277955,0,311300,5388.5742300000065,0.017309907581111488,0.218,244490,9822.704070999995,0.04017630197963105,0.709,2000-2049,,100000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
7367601,299812.1623330004,0.040693322335587985,0,358470,11627.198835000014,0.032435625951962546,0.005,363190,9247.683255999986,0.025462384030397273,0.951,2050-2099,,100000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
3997421.3,12169.212485000047,0.0030442656832293477,0.35,298450,3240.190913000002,0.01085672947897471,0.418,194480,2147.2415880000026,0.011040937823940779,0.339,1950-1999,,100000,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,TRUE
5706398.8,27357.353802000063,0.00479415385444145,0.358,311300,3483.616586000003,0.011190544767105695,0.4,244490,3463.3132110000047,0.01416545957298869,0.222,2000-2049,,100000,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,TRUE
7367601,35056.042221999945,0.004758135276598169,0.603,358470,3499.783419,0.009763113842162524,0.497,363190,3162.3785420000004,0.008707229114237727,0.444,2050-2099,,100000,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,TRUE
3997421.3,48488.29610000006,0.012129893864327,0,298450,2890.0874999999915,0.009683657229016557,0.8,194480,6407.054199999993,0.032944540312628515,0.9,1950-1999,,100000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE
5706398.8,72701.60810000022,0.012740365797777788,0,311300,2570.0440000000062,0.00825584323803407,0.3,244490,9273.027399999997,0.0379280436827682,0.7,2000-2049,,100000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE
7367601,239771.09940000056,0.032543985403118404,0,358470,10313.91810000002,0.028772053728345525,0,363190,10755.421299999993,0.029613759464742952,1,2050-2099,,100000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE
3997421.3,1421.4610999999102,3.55594517895802e-4,0.7,298450,1066.6044999999954,0.003573813034009031,0.6,194480,1824.0347000000068,0.009379034862196661,0,1950-1999,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
5706398.8,9208.442399999685,0.0016137046713243536,1,311300,1148.4049000000057,0.0036890616768390804,0.3,244490,1760.6592000000092,0.0072013546566322105,0,2000-2049,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
7367601,30390.026699999627,0.004124819829412536,1,358470,687.8137000000221,0.0019187482913494076,0,363190,934.3373000000022,0.0025725854236074842,0.3,2050-2099,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
3997421.3,20665.70963300005,0.005169760223422047,0.373,298450,8143.783674000004,0.02728692804154801,0.328,194480,2008.348117,0.010326759137186343,0.489,1950-1999,,100000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
