Average_Period_Population,Average_Period_Population_Diff,Average_Perc_Pop_Error,Perc_Pos_Pop_Error,Average_Period_Births,Average_Period_Births_Diff,Average_Perc_Bir_Error,Perc_Pos_Birth_Error,Average_Period_Deaths,Average_Period_Deaths_Diff,Average_Perc_Dea_Error,Perc_Pos_Death_Error,YearRange,ModelTitle,NumberOfInitialAgents,FiveYearStep,TopDown,AgentInitializationPerAgeYear,ForceUseSplitAge,splitFertility,country_id
691493308.8,76222292.13648003,0.11022853173916357,1,116028069.3,9377417.854884004,0.08082025247388999,0.649,48194900.699999996,8797919.787767999,0.18254876885280105,0,1950-1999,,100000,FALSE,FALSE,TRUE,FALSE,FALSE,3
1442691238,304982800.558528,0.21139852556484995,1,118090110.1,28087990.993868,0.2378521873684662,1,57592286.8,8432726.045276001,0.1464211010505664,0.8370000000000001,2000-2049,,100000,FALSE,FALSE,TRUE,FALSE,FALSE,3
1575585909.5,384119753.225596,0.24379486444347134,1,81005003.3,23857400.269924004,0.2945176137030539,1,97771867.2,24962698.050928,0.25531575458065914,1,2050-2099,,100000,FALSE,FALSE,TRUE,FALSE,FALSE,3
691493308.8,2423442.3007119964,0.003504650399173894,0.484,116028069.3,816292.7066319995,0.007035303711909645,0.44,48194900.699999996,351955.3345479998,0.007302750486795791,0.469,1950-1999,,100000,FALSE,FALSE,TRUE,TRUE,TRUE,3
1442691238,8651375.588795999,0.005996692404390966,0.502,118090110.1,987445.871228,0.008361799903411219,0.495,57592286.8,428527.12670800043,0.007440703443434034,0.599,2000-2049,,100000,FALSE,FALSE,TRUE,TRUE,TRUE,3
1575585909.5,11438837.881147996,0.007260053426587206,0.576,81005003.3,834792.8122840002,0.010305447543682776,0.571,97771867.2,791829.119708,0.008098741922236707,0.553,2050-2099,,100000,FALSE,FALSE,TRUE,TRUE,TRUE,3
691493308.8,76650023.35880004,0.11084709336062348,1,116028069.3,9418115.263200004,0.08117100732624191,0.6,48194900.699999996,8795910.211199997,0.18250707198157995,0,1950-1999,,100000,FALSE,TRUE,TRUE,FALSE,FALSE,3
1442691238,306283139.6016,0.21229985428219533,1,118090110.1,28159647.0752,0.2384589789217243,1,57592286.8,8424071.488800002,0.14627082821097498,0.8,2000-2049,,100000,FALSE,TRUE,TRUE,FALSE,FALSE,3
1575585909.5,384638242.7964,0.24412394175222218,1,81005003.3,23855379.4036,0.2944926662770718,1,97771867.2,25087773.494399995,0.2565950125825151,1,2050-2099,,100000,FALSE,TRUE,TRUE,FALSE,FALSE,3
691493308.8,1791790.900000024,0.002591190510736037,1,116028069.3,336671.01519999653,0.0029016342099902246,0,48194900.699999996,514874.18519999983,0.010683167258813336,0,1950-1999,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,3
1442691238,4683329.2648,0.0032462450325077804,1,118090110.1,428995.7376000002,0.0036327829420831426,1,57592286.8,269701.9960000001,0.004682953412435085,0.9,2000-2049,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,3
1575585909.5,6158581.026400042,0.0039087560946482565,1,81005003.3,248842.57600000204,0.0030719408167717713,0.9,97771867.2,420032.9595999971,0.004296051324669772,1,2050-2099,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,3
691493308.8,27489497.134443965,0.039753815090631237,0,116028069.3,8463906.695211997,0.07294706139880583,0,48194900.699999996,1531961.6905799983,0.031786800435922434,0.016,1950-1999,,100000,TRUE,FALSE,FALSE,FALSE,FALSE,3
1442691238,134296178.792088,0.09308726306417618,0,118090110.1,13195647.386288,0.11174218886843092,0,57592286.8,2902002.9578119977,0.0503887433379707,0,2000-2049,,100000,TRUE,FALSE,FALSE,FALSE,FALSE,3
